catnum,prereq_catnum,requirement
COMP-4020,MATH-2010,prereq
COMP-4025,COMP-3045,prereq
COMP-4030,COMP-3005,prereq
COMP-4035,COMP-2005,prereq
COMP-4035,COMP-3015,prereq
COMP-4040,COMP-1015,prereq
COMP-4040,COMP-2010,prereq
COMP-4045,COMP-1005,prereq
COMP-4045,COMP-2005,prereq
COMP-4050,COMP-3005,prereq
COMP-4050,COMP-3020,prereq
COMP-4055,COMP-4050,coreq
EENG-1005,MATH-1010,prereq
EENG-1005,PHYS-1015,prereq
EENG-1010,EENG-1005,coreq
EENG-2005,EENG-1005,prereq
EENG-2010,EENG-2005,coreq
EENG-2015,EENG-1005,prereq
EENG-2015,MATH-2015,prereq
EENG-2020,EENG-2015,coreq
EENG-3005,EENG-2015,prereq
EENG-3010,MATH-2005,prereq
EENG-3010,PHYS-1015,prereq
EENG-3015,PHYS-2005,prereq
EENG-3020,PHYS-2005,prereq
EENG-3025,EENG-2005,prereq
EENG-3030,EENG-3015,prereq
EENG-3035,PHYS-1015,prereq
EENG-3040,EENG-3035,prereq
EENG-3045,EENG-3015,prereq
EENG-3045,EENG-3020,prereq
EENG-3050,EENG-3045,coreq
EENG-3055,EENG-1015,prereq
EENG-3060,EENG-1015,prereq
EENG-3060,EENG-3015,prereq
EENG-3065,EENG-3060,coreq
EENG-3070,EENG-2015,prereq
EENG-3075,EENG-3010,prereq
EENG-3080,EENG-3075,coreq
EENG-3085,EENG-1015,prereq
EENG-3090,EENG-3085,coreq
EENG-3095,MATH-2020,prereq
EENG-3100,EENG-1005,prereq
EENG-3105,EENG-3100,coreq
EENG-3110,MATH-3005,prereq
EENG-3115,ENGR-1010,prereq
EENG-3120,EENG-3115,coreq
EENG-3125,EENG-2005,prereq
EENG-3130,EENG-3125,coreq
EENG-3135,EENG-3010,coreq
EENG-4005,EENG-3005,prereq
EENG-4005,EENG-3010,prereq
EENG-4010,EENG-4005,prereq
EENG-4015,EENG-3015,prereq
EENG-4020,EENG-3015,prereq
EENG-4025,EENG-3030,prereq
EENG-4030,EENG-4025,coreq
EENG-4035,EENG-3055,prereq
EENG-4040,EENG-3060,prereq
EENG-4045,EENG-4040,coreq
EENG-4050,EENG-3060,prereq
EENG-4055,EENG-3010,prereq
EENG-4055,EENG-3025,prereq
EENG-4060,EENG-3040,prereq
EENG-4065,EENG-4060,coreq
EENG-4070,EENG-3045,prereq
EENG-4075,EENG-3010,prereq
EENG-4080,EENG-3010,prereq
EENG-4085,EENG-4080,coreq
EENG-4090,EENG-3075,prereq
EENG-4095,EENG-3070,prereq
EENG-4100,EENG-4095,coreq
EENG-4105,EENG-3005,prereq
EENG-4105,EENG-3085,prereq
EENG-4110,EENG-4105,coreq
EENG-4115,EENG-2015,prereq
EENG-4115,EENG-3115,prereq
EENG-4120,EENG-4115,coreq
EENG-4125,EENG-3075,prereq
EENG-4130,EENG-4125,coreq
EENG-4135,EENG-3005,prereq
EENG-4140,ENGR-3005,prereq
ENGR-1010,ENGR-1005,prereq
ENGR-2005,MATH-1010,prereq
ENGR-2005,PHYS-1005,prereq
HUMN-2005,HUMN-1005,prereq
HUMN-3010,HUMN-2005,prereq
MANU-1005,ENGR-1015,prereq
MANU-1010,MANU-1005,coreq
MANU-2005,MANU-1005,prereq
MANU-2010,MANU-1005,prereq
MANU-2015,MANU-2010,coreq
MANU-2020,MANU-1005,prereq
MANU-3005,MANU-2010,prereq
MANU-3010,MATH-3005,prereq
MANU-3015,MANU-3010,coreq
MANU-3020,MANU-2005,coreq
MANU-3025,MANU-2005,prereq
MANU-3030,MANU-2010,prereq
MANU-3035,MANU-2010,prereq
MANU-3040,MANU-2010,prereq
MANU-3045,MANU-2010,prereq
MANU-4005,MANU-3005,prereq
MANU-4010,MANU-4005,prereq
MANU-4015,MANU-3005,prereq
MANU-4020,MANU-3005,prereq
MANU-4025,MANU-3005,prereq
MANU-4025,MATH-3010,prereq
MANU-4030,MANU-2005,prereq
MANU-4035,MANU-3005,prereq
MANU-4035,MATH-3005,prereq
MANU-4040,MANU-4035,prereq
MANU-4045,MANU-3010,prereq
MANU-4050,MANU-3005,prereq
MANU-4055,SOCS-3005,prereq
MANU-4060,MANU-3005,prereq
MANU-4065,MANU-3005,prereq
MATH-1010,MATH-1005,prereq
MATH-2005,MATH-1010,prereq
MATH-2010,MATH-1005,prereq
MATH-2015,MATH-1010,prereq
MATH-3005,MATH-1010,prereq
MATH-3010,MATH-2010,prereq
MATH-3010,MATH-2015,prereq
MATH-3015,MATH-2005,prereq
MATH-3015,MATH-2015,prereq
MATL-1010,CHMY-1005,prereq
MATL-2005,MATL-1005,prereq
MATL-2005,MATL-1010,prereq
MATL-2010,MATL-2005,prereq
MATL-2015,MATL-2010,prereq
MATL-3015,MATL-3010,coreq
MATL-3020,MATL-2005,prereq
MATL-3025,MATL-3020,prereq
MATL-3030,MATL-3020,prereq
MATL-3035,MATL-3030,coreq
MATL-3040,ENGR-2005,prereq
MATL-3040,MATL-2005,prereq
MATL-3045,MATL-2015,prereq
MATL-3050,MATL-3020,prereq
MATL-3055,MATL-3040,prereq
MATL-3060,MATL-2005,prereq
MATL-3065,MATL-3060,prereq
MATL-3070,MATL-2010,prereq
MATL-4005,MATL-3010,prereq
MATL-4010,MATL-4005,prereq
MATL-4015,MATL-3040,prereq
MATL-4020,MATL-1010,prereq
MATL-4020,MATL-3020,prereq
MATL-4025,MATL-3060,prereq
MATL-4030,MATL-3025,prereq
MATL-4030,MATL-4015,prereq
MATL-4035,MATL-3010,prereq
MECH-2005,ENGR-2005,prereq
MECH-2010,ENGR-2005,prereq
MECH-2015,MATH-1010,prereq
MECH-2020,MECH-2005,prereq
MECH-2025,MECH-2020,coreq
MECH-3005,MECH-2015,prereq
MECH-3010,MECH-3005,coreq
MECH-3015,MECH-2015,prereq
MECH-3015,MECH-3005,prereq
MECH-3020,MECH-2010,prereq
MECH-3025,MECH-2010,prereq
MECH-3030,MECH-2020,prereq
MECH-3035,MECH-2010,prereq
MECH-3040,MECH-3005,prereq
MECH-3045,MATH-2015,prereq
MECH-3050,ENGR-1015,prereq
MECH-3055,ENGR-1015,prereq
MECH-3060,MATH-3005,prereq
MECH-4005,MECH-3015,prereq
MECH-4010,MECH-4005,prereq
MECH-4015,MECH-3040,prereq
MECH-4020,MECH-3040,prereq
MECH-4025,MECH-3025,prereq
MECH-4030,MECH-3045,prereq
MECH-4035,MECH-3030,prereq
MECH-4040,MECH-3025,prereq
MECH-4045,MECH-3055,prereq
MECH-4050,MECH-3045,prereq
NUCL-1010,NUCL-1005,prereq
NUCL-2005,NUCL-1010,prereq
NUCL-2010,MATH-2015,prereq
NUCL-2010,PHYS-1005,prereq
NUCL-3005,MATH-2015,prereq
NUCL-3005,NUCL-2005,prereq
NUCL-3010,NUCL-2010,prereq
NUCL-3025,NUCL-2005,prereq
NUCL-3030,NUCL-3025,prereq
NUCL-3035,NUCL-2005,prereq
NUCL-3040,NUCL-3035,prereq
NUCL-3045,NUCL-3005,prereq
NUCL-3050,NUCL-2005,prereq
NUCL-3055,PHYS-2005,prereq
NUCL-3060,NUCL-3055,coreq
NUCL-4005,NUCL-3005,prereq
NUCL-4005,NUCL-3010,prereq
NUCL-4010,NUCL-4005,prereq
NUCL-4015,NUCL-3005,prereq
NUCL-4020,NUCL-3005,prereq
NUCL-4020,NUCL-3010,prereq
NUCL-4025,MATH-3010,prereq
NUCL-4025,NUCL-3010,prereq
NUCL-4030,NUCL-3055,prereq
NUCL-4035,MATH-3015,prereq
NUCL-4035,NUCL-3055,prereq
NUCL-4040,NUCL-2005,prereq
NUCL-4045,NUCL-4040,prereq
NUCL-4050,NUCL-4040,prereq
NUCL-4055,NUCL-4050,prereq
NUCL-4060,NUCL-3005,prereq
PHYS-1005,MATH-1005,prereq
PHYS-1010,PHYS-1005,coreq
PHYS-1015,MATH-1010,prereq
PHYS-1015,PHYS-1005,prereq
PHYS-1020,PHYS-1015,coreq
PHYS-2005,PHYS-1015,prereq
SOCS-2005,SOCS-1005,prereq
SOCS-2010,SOCS-2005,prereq
SOCS-3005,SOCS-2005,prereq
SOCS-3010,SOCS-1010,prereq
SOCS-3015,SOCS-2010,prereq
