building_id,target_building_id,distance_in_meters,create_date,last_update_date,updated_by_user_id
KUROMAKUE,KUROMAKUH,97.942886924,,,
KUROMAKUS,KUROMAKUH,182.600364778,,,
GERBERHAL,KUROMAKUH,455.116482067,,,
HOLLISTER,KUROMAKUH,498.287110582,,,
GERBERHAL,KUROMAKUE,357.345292321,,,
HOLLISTER,KUROMAKUE,401.326857995,,,
KUROMAKUE,KUROMAKUS,92.798826811,,,
HOLLISTER,KUROMAKUS,319.259036844,,,
KUROMAKUE,BRYANTHAL,519.223146182,,,
HOLLISTER,BRYANTHAL,443.774530729,,,
KUROMAKUE,CANFIELDH,479.423052350,,,
HOLLISTER,CANFIELDH,403.310829546,,,
CANFIELDH,CENTRALSE,546.187230813,,,
KUROMAKUE,CENTRALSE,160.724996915,,,
HOLLISTER,CENTRALSE,554.865440629,,,
PARKMANOR-S,CENTRALSE,599.620684192,,,
PARKING-T,CENTRALSE,295.994648189,,,
PARKING-Y,CENTRALSE,615.197767070,,,
SOCCERFIE,CENTRALSE,412.927945253,,,
KUROMAKUE,COLEMANHA,435.905542818,,,
HOLLISTER,COLEMANHA,368.785093110,,,
SULLIVANB,COLEMANHA,314.593350618,,,
PARKING-T,COLEMANHA,687.227615271,,,
PARKING-K,COLEMANHA,146.138556197,,,
SOCCERFIE,COLEMANHA,920.244240288,,,
CENTRALSE,FORESTHAL,707.435145406,,,
KUROMAKUE,FORESTHAL,625.477996421,,,
FORESTHAL-A,FORESTHAL,38.195076660,,,
HOLLISTER,FORESTHAL,445.374949128,,,
LUKSICHAL,FORESTHAL,508.967137387,,,
PARKMANOR-S,FORESTHAL,219.595092265,,,
SULLIVANB,FORESTHAL,503.148284305,,,
SOCCERFIE,FORESTHAL,1119.819175663,,,
KUROMAKUE,FORESTHAL-A,604.959366619,,,
HOLLISTER,FORESTHAL-A,450.801222725,,,
PARKMANOR-S,FORESTHAL-A,181.896759036,,,
SOCCERFIE,FORESTHAL-A,1092.067467730,,,
KUROMAKUE,GERBERHAL,357.345292321,,,
FORESTHAL-A,GERBERHAL,375.163604189,,,
HOLLISTER,GERBERHAL,95.703503729,,,
PARKMANOR-S,GERBERHAL,451.161572390,,,
CAMPUSCEN,GERBERHAL,364.309354932,,,
PARKING-T,GERBERHAL,549.131650766,,,
SOCCERFIE,GERBERHAL,887.951426962,,,
KUROMAKUE,HOLLISTER,401.326857995,,,
FORESTHAL-A,HOLLISTER,450.801222726,,,
GERBERHAL,HOLLISTER,95.703503728,,,
PARKMANOR-S,HOLLISTER,542.597669322,,,
TRIMDININ,HOLLISTER,510.541870381,,,
SOCCERFIE,HOLLISTER,923.205284763,,,
KUROMAKUE,HORNLIBRA,283.966324298,,,
FORESTHAL-A,HORNLIBRA,436.166956503,,,
HOLLISTER,HORNLIBRA,123.325832127,,,
GERBERHAL,HORNLIBRA,81.671122269,,,
TRIMDININ,HORNLIBRA,415.562931006,,,
WOODLANDH-3,HORNLIBRA,489.028578338,,,
KUROMAKUE,HORNCOMPU,288.181154213,,,
FORESTHAL-A,HORNCOMPU,497.532205466,,,
KUROMAKUE,KEITHHALL,306.101221694,,,
FORESTHAL-A,KEITHHALL,355.555711141,,,
HOLLISTER,KEITHHALL,165.697290406,,,
KUROMAKUE,KNIGHTAUD,298.738268298,,,
HOLLISTER,KNIGHTAUD,459.114396266,,,
KUROMAKUE,KRIEBELHA,198.292010282,,,
FORESTHAL-A,KRIEBELHA,486.115158209,,,
KUROMAKUE,LUKSICHAL,224.700531404,,,
HOLLISTER,LUKSICHAL,475.553731061,,,
HOLLISTER,MUSTARDHA,467.881510675,,,
HOLLISTER,MALLOYHAL,533.368390883,,,
FORESTHAL-A,PARKING-P,832.037576666,,,
KUROMAKUE,PARKING-Y,561.173619102,,,
KUROMAKUE,PARKING-W,348.189200880,,,
KUROMAKUE,TENNISCOU,292.757428349,,,
KUROMAKUE,SOCCERFIE,530.954795182,,,
HOLLISTER,MCCULLOUGH,536.436149451,,,
HOLLISTER,PARKMANOR-S,542.597669321,,,
HOLLISTER,PARKMANOR-C,500.251966338,,,
HOLLISTER,PARKMANOR-N,464.088756169,,,
HOLLISTER,POSTOFFIC,482.032535881,,,
HOLLISTER,CAMPUSCEN,391.308544607,,,
GERBERHAL,SULLIVANB,458.030821249,,,
GERBERHAL,TOMASSOHA,626.773420222,,,
HOLLISTER,TOMASSOHA,684.628167067,,,
GERBERHAL,TRIMDININ,496.852643315,,,
GERBERHAL,JABBER,153.118977552,,,
HOLLISTER,JABBER,248.725496892,,,
GERBERHAL,RECREATION,428.665413834,,,
HOLLISTER,RECREATION,452.040650745,,,
GERBERHAL,WESTGATEH,62.568631716,,,
HOLLISTER,WESTGATEH,148.074941459,,,
GERBERHAL,WOODLANDH-1,508.401509481,,,
GERBERHAL,PARKING-P,669.397565380,,,
KUROMAKUE,PARKING-H,411.619813344,,,
FORESTHAL-A,PARKING-W,936.954191652,,,
KUROMAKUE,PARKING-S,284.416658955,,,
FORESTHAL-A,SOCCERFIE,1092.067467730,,,
FORESTHAL-A,PARKING-Y,105.403027056,,,
FORESTHAL-A,TENNISCOU,896.929998399,,,
GERBERHAL,WOODLANDH-2,541.234934558,,,
HOLLISTER,WOODLANDH-2,532.565229575,,,
GERBERHAL,WOODLANDH-3,570.008141278,,,
GERBERHAL,WOODLANDH-4,553.165506839,,,
HOLLISTER,WOODLANDH-4,550.489518485,,,
GERBERHAL,PARKING-T,549.131650766,,,
GERBERHAL,PARKING-C,268.592205177,,,
HOLLISTER,PARKING-C,355.503026654,,,
GERBERHAL,PARKING-E,511.252758649,,,
HOLLISTER,PARKING-E,544.299544214,,,
GERBERHAL,PARKING-K,298.443905507,,,
GERBERHAL,PARKING-N,90.144810032,,,
HOLLISTER,PARKING-N,129.994290238,,,
FORESTHAL-A,PARKING-F,41.754201487,,,
GERBERHAL,PARKING-F,335.593084528,,,
FORESTHAL-A,PARKING-H,402.988898474,,,
FORESTHAL-A,PARKING-S,507.619182216,,,
GERBERHAL,PARKING-S,464.165494735,,,
GERBERHAL,PARKING-W,619.279954299,,,
GERBERHAL,PARKING-Y,397.062570996,,,
GERBERHAL,TENNISCOU,627.927656687,,,
FORESTHAL,KUROMAKUH,706.960584917,,,
FORESTHAL-A,KUROMAKUH,683.748055486,,,
LUKSICHAL,KUROMAKUH,251.935297319,,,
FORESTHAL,KUROMAKUE,625.477996421,,,
FORESTHAL-A,KUROMAKUE,604.959366619,,,
LUKSICHAL,KUROMAKUE,224.700531404,,,
FORESTHAL,KUROMAKUS,599.677988160,,,
FORESTHAL-A,KUROMAKUS,584.169268307,,,
LUKSICHAL,KUROMAKUS,281.862816637,,,
FORESTHAL,BRYANTHAL,150.389193546,,,
FORESTHAL-A,BRYANTHAL,114.179717534,,,
FORESTHAL,CANFIELDH,166.845612488,,,
FORESTHAL-A,CANFIELDH,135.563331913,,,
COLEMANHA,CENTRALSE,508.177873589,,,
FORESTHAL,CENTRALSE,707.435145406,,,
FORESTHAL-A,CENTRALSE,680.519786414,,,
FORESTHAL,COLEMANHA,199.708661812,,,
FORESTHAL-A,COLEMANHA,172.620762149,,,
COLEMANHA,FORESTHAL,199.708661812,,,
COLEMANHA,FORESTHAL-A,172.620762149,,,
FORESTHAL,FORESTHAL-A,38.195076660,,,
COLEMANHA,GERBERHAL,276.086510735,,,
FORESTHAL,GERBERHAL,375.506991218,,,
COLEMANHA,HOLLISTER,368.785093111,,,
FORESTHAL,HOLLISTER,445.374949129,,,
COLEMANHA,HORNLIBRA,312.323929065,,,
CENTRALSE,HORNCOMPU,445.921528525,,,
HOLLISTER,HORNCOMPU,119.586281319,,,
COLEMANHA,HORNCOMPU,377.024554265,,,
FORESTHAL,HORNCOMPU,500.832820182,,,
MUSTARDHA,HORNCOMPU,360.895923781,,,
PARKMANOR-S,HORNCOMPU,551.312331015,,,
TRIMDININ,HORNCOMPU,391.362136393,,,
COLEMANHA,KEITHHALL,228.143324799,,,
GERBERHAL,KEITHHALL,74.674078384,,,
TRIMDININ,KEITHHALL,464.135682550,,,
COLEMANHA,KNIGHTAUD,224.174319148,,,
FORESTHAL-A,KNIGHTAUD,387.084833645,,,
GERBERHAL,KNIGHTAUD,368.332457631,,,
MALLOYHAL,KNIGHTAUD,244.400146971,,,
PARKMANOR-S,KNIGHTAUD,288.121263661,,,
TRIMDININ,KNIGHTAUD,486.560865167,,,
PARKING-E,KNIGHTAUD,419.631411322,,,
HOLLISTER,KRIEBELHA,203.554018973,,,
COLEMANHA,KRIEBELHA,340.863046639,,,
GERBERHAL,KRIEBELHA,165.600516449,,,
MALLOYHAL,KRIEBELHA,334.617212787,,,
TRIMDININ,KRIEBELHA,332.615889656,,,
PARKING-E,KRIEBELHA,347.192472179,,,
CENTRALSE,LUKSICHAL,214.108668585,,,
FORESTHAL-A,LUKSICHAL,478.766014532,,,
FORESTHAL,LUKSICHAL,508.967137387,,,
GERBERHAL,LUKSICHAL,393.899853365,,,
MALLOYHAL,LUKSICHAL,146.711464564,,,
COLEMANHA,MUSTARDHA,437.035561881,,,
FORESTHAL-A,MALLOYHAL,619.753657107,,,
FORESTHAL-A,MCCULLOUGH,548.952243350,,,
FORESTHAL-A,PARKMANOR-S,181.896759036,,,
FORESTHAL-A,PARKMANOR-C,167.623697986,,,
FORESTHAL-A,PARKMANOR-N,179.084347503,,,
FORESTHAL,POSTOFFIC,571.399877186,,,
FORESTHAL,CAMPUSCEN,666.689448766,,,
FORESTHAL-A,CAMPUSCEN,649.208425815,,,
FORESTHAL,SULLIVANB,503.148284305,,,
FORESTHAL,TOMASSOHA,805.345230243,,,
FORESTHAL-A,TOMASSOHA,775.417735825,,,
FORESTHAL,TRIMDININ,807.578576896,,,
FORESTHAL-A,TRIMDININ,789.666804824,,,
FORESTHAL,JABBER,287.362110552,,,
FORESTHAL-A,JABBER,273.164507646,,,
FORESTHAL,RECREATION,728.837004739,,,
FORESTHAL-A,RECREATION,710.357239270,,,
FORESTHAL,WESTGATEH,313.290314933,,,
COLEMANHA,PARKING-F,156.572035166,,,
COLEMANHA,PARKING-N,266.701261221,,,
COLEMANHA,PARKING-P,661.901199696,,,
COLEMANHA,PARKING-H,327.795260201,,,
COLEMANHA,PARKING-W,774.478242842,,,
COLEMANHA,PARKING-S,347.601144715,,,
COLEMANHA,SOCCERFIE,920.244240288,,,
COLEMANHA,PARKING-Y,134.088858467,,,
COLEMANHA,TENNISCOU,726.497082899,,,
FORESTHAL,WOODLANDH-1,852.273327280,,,
FORESTHAL-A,WOODLANDH-1,839.100769325,,,
FORESTHAL,WOODLANDH-2,882.754853949,,,
FORESTHAL-A,WOODLANDH-2,868.979137815,,,
FORESTHAL,WOODLANDH-3,908.423972111,,,
FORESTHAL-A,WOODLANDH-3,893.959188197,,,
KRIEBELHA,WOODLANDH-3,415.657026376,,,
FORESTHAL,WOODLANDH-4,886.027655171,,,
FORESTHAL-A,WOODLANDH-4,870.753489197,,,
FORESTHAL,PARKING-T,869.208601617,,,
FORESTHAL-A,PARKING-T,852.110576844,,,
KRIEBELHA,PARKING-T,387.317983131,,,
FORESTHAL,PARKING-C,150.355583960,,,
FORESTHAL-A,PARKING-C,129.561724713,,,
FORESTHAL,PARKING-E,780.731771342,,,
FORESTHAL-A,PARKING-E,758.419126143,,,
KRIEBELHA,PARKING-E,347.192472179,,,
COLEMANHA,PARKING-K,146.138556197,,,
FORESTHAL,PARKING-K,345.218656398,,,
FORESTHAL-A,PARKING-K,315.937828160,,,
FORESTHAL,PARKING-N,316.126987612,,,
FORESTHAL-A,PARKING-N,323.574132326,,,
FORESTHAL,PARKING-F,45.967833271,,,
KRIEBELHA,PARKING-F,452.154166899,,,
FORESTHAL,PARKING-H,397.066677527,,,
KRIEBELHA,PARKING-H,214.133934479,,,
FORESTHAL,PARKING-P,861.451123311,,,
KRIEBELHA,PARKING-P,518.703556699,,,
FORESTHAL,PARKING-S,540.680047778,,,
FORESTHAL,PARKING-W,952.519395523,,,
KRIEBELHA,PARKING-W,462.677581510,,,
FORESTHAL,PARKING-Y,143.584199052,,,
FORESTHAL,SOCCERFIE,1119.819175663,,,
FORESTHAL,TENNISCOU,918.099358870,,,
KRIEBELHA,SOCCERFIE,725.416561505,,,
KRIEBELHA,TENNISCOU,462.417768630,,,
KEITHHALL,KUROMAKUH,402.063948451,,,
KNIGHTAUD,KUROMAKUH,342.707649848,,,
KRIEBELHA,KUROMAKUH,295.862703427,,,
KEITHHALL,KUROMAKUE,306.101221694,,,
KNIGHTAUD,KUROMAKUE,298.738268298,,,
KRIEBELHA,KUROMAKUE,198.292010282,,,
KEITHHALL,KUROMAKUS,251.923078219,,,
KNIGHTAUD,KUROMAKUS,335.068604595,,,
KRIEBELHA,KUROMAKUS,123.649673851,,,
KEITHHALL,BRYANTHAL,313.801587844,,,
KNIGHTAUD,BRYANTHAL,277.175792000,,,
KRIEBELHA,BRYANTHAL,429.894044930,,,
KEITHHALL,CANFIELDH,269.793513718,,,
KNIGHTAUD,CANFIELDH,252.243997118,,,
KRIEBELHA,CANFIELDH,385.562346627,,,
KEITHHALL,CENTRALSE,438.098471339,,,
KNIGHTAUD,CENTRALSE,311.499894047,,,
KRIEBELHA,CENTRALSE,351.722240697,,,
KEITHHALL,COLEMANHA,228.143324799,,,
KNIGHTAUD,COLEMANHA,224.174319148,,,
KRIEBELHA,COLEMANHA,340.863046639,,,
KEITHHALL,FORESTHAL,363.442120381,,,
KRIEBELHA,FORESTHAL,496.834318044,,,
KEITHHALL,FORESTHAL-A,355.555711141,,,
KRIEBELHA,FORESTHAL-A,486.115158209,,,
KEITHHALL,GERBERHAL,74.674078384,,,
KRIEBELHA,GERBERHAL,165.600516449,,,
KEITHHALL,HOLLISTER,165.697290406,,,
KRIEBELHA,HOLLISTER,203.554018973,,,
KEITHHALL,HORNLIBRA,84.372154415,,,
KRIEBELHA,HORNLIBRA,86.879977882,,,
LUKSICHAL,HORNLIBRA,356.562332967,,,
KEITHHALL,HORNCOMPU,148.976126928,,,
KRIEBELHA,HORNCOMPU,98.183773671,,,
KNIGHTAUD,KEITHHALL,294.250830819,,,
KRIEBELHA,KEITHHALL,135.957948623,,,
LUKSICHAL,KEITHHALL,320.070155775,,,
KEITHHALL,KNIGHTAUD,294.250830818,,,
KRIEBELHA,KNIGHTAUD,321.008529565,,,
LUKSICHAL,KNIGHTAUD,97.689269308,,,
KNIGHTAUD,KRIEBELHA,321.008529565,,,
KNIGHTAUD,LUKSICHAL,97.689269308,,,
KRIEBELHA,LUKSICHAL,304.039690708,,,
TRIMDININ,LUKSICHAL,403.360153512,,,
PARKING-N,LUKSICHAL,453.001678366,,,
FORESTHAL-A,MUSTARDHA,609.538571745,,,
KNIGHTAUD,MUSTARDHA,261.619341461,,,
KRIEBELHA,MUSTARDHA,265.331216095,,,
GERBERHAL,MUSTARDHA,411.810627916,,,
TRIMDININ,MUSTARDHA,233.687068796,,,
KNIGHTAUD,MALLOYHAL,244.400146971,,,
KRIEBELHA,MALLOYHAL,334.617212787,,,
FORESTHAL,MALLOYHAL,648.038761578,,,
GERBERHAL,MALLOYHAL,468.830479806,,,
MUSTARDHA,MALLOYHAL,81.431184776,,,
PARKING-N,MALLOYHAL,543.588855966,,,
KEITHHALL,WOODLANDH-1,492.893618535,,,
KEITHHALL,WESTGATEH,78.831671075,,,
KEITHHALL,WOODLANDH-3,551.586439739,,,
KEITHHALL,WOODLANDH-2,524.464206645,,,
KEITHHALL,PARKING-T,521.163154623,,,
KEITHHALL,WOODLANDH-4,531.554351083,,,
KEITHHALL,PARKING-E,464.215530378,,,
KEITHHALL,PARKING-C,234.962020470,,,
KEITHHALL,PARKING-N,141.806708164,,,
KEITHHALL,PARKING-K,226.997699978,,,
KEITHHALL,PARKING-H,143.023871189,,,
KEITHHALL,PARKING-F,319.634275534,,,
KEITHHALL,PARKING-S,389.750757134,,,
KEITHHALL,PARKING-P,607.893720005,,,
KEITHHALL,PARKING-Y,358.113492633,,,
KEITHHALL,PARKING-W,598.334544419,,,
KEITHHALL,TENNISCOU,589.073842563,,,
KEITHHALL,SOCCERFIE,835.939136946,,,
PARKING-H,MALLOYHAL,532.358875461,,,
KNIGHTAUD,MCCULLOUGH,162.604141067,,,
KRIEBELHA,MCCULLOUGH,353.002509578,,,
MUSTARDHA,MCCULLOUGH,156.912467288,,,
TRIMDININ,MCCULLOUGH,387.737943120,,,
CANFIELDH,PARKMANOR-S,139.599777842,,,
KNIGHTAUD,PARKMANOR-S,288.121263661,,,
KRIEBELHA,PARKMANOR-S,507.078449937,,,
FORESTHAL,PARKMANOR-S,219.595092265,,,
GERBERHAL,PARKMANOR-S,451.161572390,,,
LUKSICHAL,PARKMANOR-S,385.645511828,,,
MUSTARDHA,PARKMANOR-S,545.410330603,,,
KNIGHTAUD,PARKMANOR-C,258.836017676,,,
KRIEBELHA,PARKMANOR-C,464.021640963,,,
KNIGHTAUD,TENNISCOU,560.179357551,,,
GERBERHAL,PARKMANOR-C,408.283240864,,,
MUSTARDHA,PARKMANOR-C,511.579672454,,,
PARKING-N,PARKMANOR-C,392.259436679,,,
PARKING-H,PARKMANOR-C,458.083766748,,,
CANFIELDH,PARKMANOR-N,73.139853724,,,
KNIGHTAUD,PARKMANOR-N,222.042735163,,,
KRIEBELHA,PARKMANOR-N,420.236225413,,,
KNIGHTAUD,POSTOFFIC,171.178298127,,,
KNIGHTAUD,CAMPUSCEN,366.562799415,,,
KRIEBELHA,POSTOFFIC,292.258200239,,,
KNIGHTAUD,TOMASSOHA,390.865016318,,,
KNIGHTAUD,SULLIVANB,96.422726710,,,
KNIGHTAUD,JABBER,236.737638602,,,
KNIGHTAUD,TRIMDININ,486.560865167,,,
KNIGHTAUD,WESTGATEH,344.491078950,,,
KEITHHALL,RECREATION,390.490467361,,,
KNIGHTAUD,WOODLANDH-2,597.113663680,,,
KNIGHTAUD,WOODLANDH-1,575.433521819,,,
KNIGHTAUD,WOODLANDH-4,585.064288188,,,
KNIGHTAUD,PARKING-C,281.207957550,,,
KNIGHTAUD,PARKING-E,419.631411322,,,
KNIGHTAUD,PARKING-N,410.651568634,,,
KNIGHTAUD,PARKING-F,378.672661431,,,
KNIGHTAUD,PARKING-H,436.142567274,,,
KNIGHTAUD,PARKING-S,123.575243423,,,
KNIGHTAUD,PARKING-W,644.298908530,,,
KNIGHTAUD,SOCCERFIE,713.070260691,,,
KRIEBELHA,CAMPUSCEN,198.719196454,,,
KRIEBELHA,TOMASSOHA,481.767552464,,,
KRIEBELHA,TRIMDININ,332.615889655,,,
KNIGHTAUD,RECREATION,409.677933721,,,
KRIEBELHA,WESTGATEH,206.850014961,,,
HORNCOMPU,KUROMAKUH,383.427434691,,,
PARKMANOR-S,KUROMAKUH,625.764885445,,,
PARKMANOR-C,KUROMAKUH,591.319393160,,,
HORNCOMPU,KUROMAKUE,288.181154213,,,
PARKMANOR-S,KUROMAKUE,566.462683552,,,
PARKMANOR-C,KUROMAKUE,528.774489778,,,
HORNCOMPU,KUROMAKUS,201.991612978,,,
MCCULLOUGH,KUROMAKUS,306.476952873,,,
PARKMANOR-S,KUROMAKUS,574.328426504,,,
PARKMANOR-C,KUROMAKUS,533.495027525,,,
HORNCOMPU,BRYANTHAL,462.668877282,,,
MCCULLOUGH,BRYANTHAL,439.761471729,,,
PARKMANOR-C,BRYANTHAL,68.796002375,,,
HORNCOMPU,CANFIELDH,418.738892038,,,
MCCULLOUGH,CANFIELDH,413.611718816,,,
PARKMANOR-C,CANFIELDH,98.591459460,,,
HORNCOMPU,CENTRALSE,445.921528525,,,
MCCULLOUGH,CENTRALSE,167.757416824,,,
PARKMANOR-C,CENTRALSE,569.386817932,,,
HORNCOMPU,COLEMANHA,377.024554265,,,
MCCULLOUGH,COLEMANHA,382.331197232,,,
PARKMANOR-C,COLEMANHA,132.364278867,,,
HORNCOMPU,FORESTHAL,500.832820182,,,
MCCULLOUGH,FORESTHAL,580.079059308,,,
PARKMANOR-C,FORESTHAL,205.764605987,,,
HORNCOMPU,FORESTHAL-A,497.532205466,,,
PARKMANOR-C,FORESTHAL-A,167.623697986,,,
HORNCOMPU,GERBERHAL,128.427550193,,,
PARKMANOR-C,GERBERHAL,408.283240864,,,
HORNCOMPU,HOLLISTER,119.586281319,,,
PARKMANOR-C,HOLLISTER,500.251966337,,,
PARKMANOR-C,HORNLIBRA,443.034940451,,,
PARKMANOR-C,HORNCOMPU,507.704595328,,,
PARKMANOR-C,KEITHHALL,359.334613062,,,
PARKMANOR-C,KNIGHTAUD,258.836017676,,,
PARKMANOR-C,KRIEBELHA,464.021640963,,,
PARKMANOR-C,LUKSICHAL,356.432546847,,,
PARKMANOR-C,MUSTARDHA,511.579672454,,,
PARKMANOR-C,MALLOYHAL,503.054065138,,,
PARKMANOR-S,MCCULLOUGH,444.464879529,,,
PARKMANOR-C,MCCULLOUGH,418.820193232,,,
PARKMANOR-C,PARKMANOR-S,43.611890930,,,
PARKMANOR-S,PARKMANOR-C,43.611890930,,,
PARKMANOR-S,PARKMANOR-N,86.868085325,,,
PARKMANOR-C,PARKMANOR-N,44.572927960,,,
FORESTHAL,PARKMANOR-N,215.790251526,,,
GERBERHAL,PARKMANOR-N,370.742724265,,,
LUKSICHAL,PARKMANOR-N,318.905660638,,,
MUSTARDHA,PARKMANOR-N,470.183629815,,,
TRIMDININ,PARKMANOR-N,676.544791207,,,
FORESTHAL-A,POSTOFFIC,543.069345844,,,
PARKMANOR-S,POSTOFFIC,459.181463179,,,
